model,method,bits,ppl,tok_per_sec,calib_sec,n_eval_tokens,task,top1,top5,n_eval
SmolLM-135M,AWQ-like,4,23.8455397465148,41.22861154209544,26.32801674999064,32736.0,llm,,,
SmolLM-135M,FP32,32,18.872955627475644,38.58105801169125,0.0,32736.0,llm,,,
SmolLM-135M,RTN,4,26.604963997757388,41.991293868041424,1.3335350840352476,32736.0,llm,,,
SmolLM-135M,TRIAD,4,21.55606391574975,38.0225115537478,213.15518258302473,32736.0,llm,,,
SmolLM-360M,AWQ-like,4,16.6044258675111,31.977546438353567,54.08501466596499,32736.0,llm,,,
SmolLM-360M,FP32,32,14.070663545306283,31.72492375110413,0.0,32736.0,llm,,,
SmolLM-360M,RTN,4,17.290327156119417,32.02641378456468,3.6771698750089854,32736.0,llm,,,
SmolLM-360M,TRIAD,4,15.790869025927858,29.348437749812337,842.5647067080135,32736.0,llm,,,
TinyLlama-1.1B-Chat-v1.0,FP32,32,8.447840082941072,20.328758370467064,0.0,16368.0,llm,,,
TinyLlama-1.1B-Chat-v1.0,RTN,4,8.867101357180447,20.185201734247734,6.397178499959409,16368.0,llm,,,
efficientnet_b0,AWQ-like,4,,,5.24127524998039,,cnn,0.6208,0.835,5000.0
efficientnet_b0,FP32,32,,,0.24805645900778472,,cnn,0.6568,0.8626,5000.0
efficientnet_b0,RTN,4,,,0.7955265829805285,,cnn,0.6076,0.8312,5000.0
efficientnet_b0,TRIAD,4,,,23.590810124995187,,cnn,0.6426,0.8556,5000.0
mobilenet_v2,AWQ-like,4,,,6.591231082973536,,cnn,0.5016,0.7486,5000.0
mobilenet_v2,FP32,32,,,0.34160958300344646,,cnn,0.5996,0.8232,5000.0
mobilenet_v2,RTN,4,,,0.6161740000243299,,cnn,0.4004,0.6552,5000.0
mobilenet_v2,TRIAD,4,,,22.93418624997139,,cnn,0.569,0.8026,5000.0
mobilevit_s,AWQ-like,4,,,11.206599291996099,,cnn,0.446,0.6702,5000.0
mobilevit_s,FP32,32,,,0.3540520830429159,,cnn,0.6686,0.8744,5000.0
mobilevit_s,RTN,4,,,1.870999666978605,,cnn,0.3398,0.579,5000.0
mobilevit_s,TRIAD,4,,,97.97644670802401,,cnn,0.6264,0.8366,5000.0
